SK_ID_CURR,actual_default,pd_raw,pd_calibrated,credit_grade,decision_recommendation,grade_group,is_investment_grade,is_review_grade,is_high_risk,portfolio_percentile,risk_priority_flag,decision_pd_threshold,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,LGD,EAD,ECL_base,PD_stressed,LGD_stressed,EAD_stressed,ECL_stressed,ECL_uplift,ECL_uplift_pct
156066,0,0.9160111,0.3320369139079463,C,Reject,High Risk,0,0,1,1.0,Immediate Review,Reject,719946.0,34767.0,643500.0,,719946.0,,0.958381715669959,,791940.6000000001,,,
133840,1,0.909293,0.3264795049177999,D,Reject,High Risk,0,0,1,0.9997217584863661,Immediate Review,Reject,545040.0,35617.5,450000.0,0.7,545040.0,124561.07255227836,0.9423409715853035,0.8999999999999999,599544.0,508477.3879213252,383916.3153690469,3.0821532562503986
207415,0,0.90690166,0.32451292283336064,C,Reject,High Risk,0,0,1,0.9994435169727324,Immediate Review,Reject,382050.0,30312.0,337500.0,,382050.0,,0.9366646861087639,,420255.00000000006,,,
218614,0,0.9024173,0.3208417713951745,C,Reject,High Risk,0,0,1,0.9991652754590985,Immediate Review,Reject,170640.0,13612.5,135000.0,,170640.0,,0.926068381100374,,187704.00000000003,,,
122861,1,0.90196776,0.3204749631305228,D,Reject,High Risk,0,0,1,0.9988870339454646,Immediate Review,Reject,474048.0,25843.5,360000.0,0.7,474048.0,106344.36072546865,0.9250096363666597,0.8999999999999999,521452.80000000005,434113.9784193389,327769.6176938702,3.0821532562503986
325842,1,0.9002937,0.31911094160118003,D,Reject,High Risk,0,0,1,0.9986087924318309,Immediate Review,Reject,407727.0,29799.0,333000.0,0.7,407727.0,91077.10282035702,0.9210725641956278,0.8999999999999999,448499.7,371790.6918479728,280713.5890276158,3.082153256250399
301114,0,0.89525604,0.31502496054806334,C,Reject,High Risk,0,0,1,0.998330550918197,Immediate Review,Reject,172021.5,19584.0,148500.0,,172021.5,,0.9092789070212132,,189223.65000000002,,,
314731,0,0.8926887,0.3129535249070583,C,Reject,High Risk,0,0,1,0.9980523094045631,Immediate Review,Reject,284400.0,20740.5,225000.0,,284400.0,,0.9032999752808806,,312840.0,,,
178606,1,0.8921852,0.31254816856866724,D,Reject,High Risk,0,0,1,0.9977740678909294,Immediate Review,Reject,302341.5,27859.5,261000.0,0.7,302341.5,66147.3974751126,0.9021299665054328,0.8999999999999999,332575.65,270023.81399552024,203876.41652040766,3.082153256250398
221039,1,0.8859925,0.3075859467522909,D,Reject,High Risk,0,0,1,0.9974958263772955,Immediate Review,Reject,634482.0,24714.0,454500.0,0.7,634482.0,136610.4226671009,0.8878071534123315,0.8999999999999999,697930.2000000001,557664.6817282493,421054.2590611484,3.082153256250399
356343,1,0.8758099,0.2995227798402002,D,Reject,High Risk,0,0,1,0.9972175848636616,Immediate Review,Reject,225000.0,19440.0,225000.0,0.7,225000.0,47174.83782483153,0.8645338623556477,0.8999999999999999,247500.00000000003,192574.91783972053,145400.080014889,3.0821532562503995
288483,1,0.87414676,0.2982173512556628,D,Reject,High Risk,0,0,1,0.9969393433500279,Immediate Review,Reject,450000.0,27193.5,450000.0,0.7,450000.0,93938.46564553377,0.8607659111606777,0.8999999999999999,495000.00000000006,383471.21342208196,289532.7477765482,3.0821532562503995
187156,1,0.873241,0.29750779145885814,D,Reject,High Risk,0,0,1,0.996661101836394,Immediate Review,Reject,45000.0,3172.5,45000.0,0.7,45000.0,9371.495430954032,0.8587178583480298,0.8999999999999999,49500.00000000001,38255.88058940473,28884.3851584507,3.0821532562503986
265681,0,0.87032676,0.2952314095136397,C,Reject,High Risk,0,0,1,0.9963828603227601,Immediate Review,Reject,278460.0,22455.0,225000.0,,278460.0,,0.852147375540858,,306306.0,,,
253725,0,0.8703246,0.2952297371423672,C,Reject,High Risk,0,0,1,0.9961046188091264,Immediate Review,Reject,835380.0,45445.5,675000.0,,835380.0,,0.8521425484569338,,918918.0000000001,,,
386967,0,0.8665314,0.2922819873166443,C,Reject,High Risk,0,0,1,0.9958263772954925,Immediate Review,Reject,452385.0,22131.0,373500.0,,452385.0,,0.8436342488763475,,497623.50000000006,,,
144623,1,0.8628515,0.2894389135582486,D,Reject,High Risk,0,0,1,0.9955481357818586,Immediate Review,Reject,327024.0,15903.0,270000.0,0.7,327024.0,66257.42988723087,0.8354280832597651,0.8999999999999999,359726.4,270472.983164942,204215.55327771115,3.082153256250399
154527,1,0.86278987,0.289391436961721,D,Reject,High Risk,0,0,1,0.9952698942682248,Immediate Review,Reject,225000.0,25384.5,225000.0,0.7,225000.0,45579.15132147105,0.8352910481888787,0.8999999999999999,247500.00000000003,186061.08098407273,140481.92966260167,3.082153256250399
427037,0,0.85864574,0.28620969312459893,C,Reject,High Risk,0,0,1,0.994991652754591,Immediate Review,Reject,225000.0,21582.0,225000.0,,225000.0,,0.8261073550821274,,247500.00000000003,,,
162939,1,0.858593,0.28616932842542997,D,Reject,High Risk,0,0,1,0.9947134112409571,Immediate Review,Reject,254799.0,20259.0,193500.0,0.7,254799.0,51040.96109942979,0.8259908475854556,0.8999999999999999,280278.9,208357.02555418725,157316.06445475746,3.0821532562503986
257597,0,0.8581193,0.285807019977094,C,Reject,High Risk,0,0,1,0.9944351697273233,Immediate Review,Reject,225000.0,11488.5,225000.0,,225000.0,,0.824945090991012,,247500.00000000003,,,
238567,1,0.85706645,0.2850026940476872,D,Reject,High Risk,0,0,1,0.9941569282136895,Immediate Review,Reject,373500.0,25393.5,373500.0,0.7,373500.0,74513.9543587678,0.8226235079624562,0.8999999999999999,410850.00000000006,304177.38142173766,229663.42706296986,3.0821532562504
273439,1,0.8556073,0.28389021150075106,D,Reject,High Risk,0,0,1,0.9938786867000556,Immediate Review,Reject,545040.0,26640.0,450000.0,0.7,545040.0,108312.06461345855,0.8194124706129128,0.8999999999999999,599544.0,442146.44725303334,333834.3826395748,3.082153256250398
366331,0,0.85333264,0.2821612655805803,C,Reject,High Risk,0,0,1,0.9936004451864218,Immediate Review,Reject,601470.0,32760.0,450000.0,,601470.0,,0.8144220912669188,,661617.0,,,
239650,0,0.8491488,0.2789978887510846,C,Reject,High Risk,0,0,1,0.993322203672788,Immediate Review,Reject,270000.0,13500.0,270000.0,,270000.0,,0.8052914121581399,,297000.0,,,
217209,1,0.84912634,0.2789809573640721,D,Reject,High Risk,0,0,1,0.9930439621591541,Immediate Review,Reject,729000.0,25825.5,729000.0,0.7,729000.0,142363.98254288596,0.8052425418938589,0.8999999999999999,801900.0000000001,581151.594910217,438787.61236733105,3.0821532562504
